"startTime";"endTime";"Hydro power production - real time data"
"2024-12-31T22:00:00.000Z";"2024-12-31T22:03:00.000Z";1307
"2024-12-31T22:03:00.000Z";"2024-12-31T22:06:00.000Z";1360.4
"2024-12-31T22:06:00.000Z";"2024-12-31T22:09:00.000Z";1274.9
"2024-12-31T22:09:00.000Z";"2024-12-31T22:12:00.000Z";1225.2
"2024-12-31T22:12:00.000Z";"2024-12-31T22:15:00.000Z";1234
"2024-12-31T22:15:00.000Z";"2024-12-31T22:18:00.000Z";1239
"2024-12-31T22:18:00.000Z";"2024-12-31T22:21:00.000Z";1242.7
"2024-12-31T22:21:00.000Z";"2024-12-31T22:24:00.000Z";1259.5
"2024-12-31T22:24:00.000Z";"2024-12-31T22:27:00.000Z";1262.8
"2024-12-31T22:27:00.000Z";"2024-12-31T22:30:00.000Z";1263.5
"2024-12-31T22:30:00.000Z";"2024-12-31T22:33:00.000Z";1275.3
"2024-12-31T22:33:00.000Z";"2024-12-31T22:36:00.000Z";1281
"2024-12-31T22:36:00.000Z";"2024-12-31T22:39:00.000Z";1282.5
"2024-12-31T22:39:00.000Z";"2024-12-31T22:42:00.000Z";1287.2
"2024-12-31T22:42:00.000Z";"2024-12-31T22:45:00.000Z";1286.2
"2024-12-31T22:45:00.000Z";"2024-12-31T22:48:00.000Z";1279.8
"2024-12-31T22:48:00.000Z";"2024-12-31T22:51:00.000Z";1305.6
"2024-12-31T22:51:00.000Z";"2024-12-31T22:54:00.000Z";1336.8
"2024-12-31T22:54:00.000Z";"2024-12-31T22:57:00.000Z";1325.7
"2024-12-31T22:57:00.000Z";"2024-12-31T23:00:00.000Z";1316.8
"2024-12-31T23:00:00.000Z";"2024-12-31T23:03:00.000Z";1298.2
"2024-12-31T23:03:00.000Z";"2024-12-31T23:06:00.000Z";1282.2
"2024-12-31T23:06:00.000Z";"2024-12-31T23:09:00.000Z";1286.3
"2024-12-31T23:09:00.000Z";"2024-12-31T23:12:00.000Z";1289.3
"2024-12-31T23:12:00.000Z";"2024-12-31T23:15:00.000Z";1279.3
"2024-12-31T23:15:00.000Z";"2024-12-31T23:18:00.000Z";1284.8
"2024-12-31T23:18:00.000Z";"2024-12-31T23:21:00.000Z";1286.8
"2024-12-31T23:21:00.000Z";"2024-12-31T23:24:00.000Z";1193.4
"2024-12-31T23:24:00.000Z";"2024-12-31T23:27:00.000Z";1165.5
"2024-12-31T23:27:00.000Z";"2024-12-31T23:30:00.000Z";1180.8
"2024-12-31T23:30:00.000Z";"2024-12-31T23:33:00.000Z";1170.8
"2024-12-31T23:33:00.000Z";"2024-12-31T23:36:00.000Z";1164.3
"2024-12-31T23:36:00.000Z";"2024-12-31T23:39:00.000Z";1161.3
"2024-12-31T23:39:00.000Z";"2024-12-31T23:42:00.000Z";1160.5
"2024-12-31T23:42:00.000Z";"2024-12-31T23:45:00.000Z";1158.5
"2024-12-31T23:45:00.000Z";"2024-12-31T23:48:00.000Z";1156.3
"2024-12-31T23:48:00.000Z";"2024-12-31T23:51:00.000Z";1150.8
"2024-12-31T23:51:00.000Z";"2024-12-31T23:54:00.000Z";1158.1
"2024-12-31T23:54:00.000Z";"2024-12-31T23:57:00.000Z";1146
"2024-12-31T23:57:00.000Z";"2025-01-01T00:00:00.000Z";1130.7
"2025-01-01T00:00:00.000Z";"2025-01-01T00:03:00.000Z";1124.8
"2025-01-01T00:03:00.000Z";"2025-01-01T00:06:00.000Z";1157.2
"2025-01-01T00:06:00.000Z";"2025-01-01T00:09:00.000Z";1157.2
"2025-01-01T00:09:00.000Z";"2025-01-01T00:12:00.000Z";1132.3
"2025-01-01T00:12:00.000Z";"2025-01-01T00:15:00.000Z";1131.5
"2025-01-01T00:15:00.000Z";"2025-01-01T00:18:00.000Z";1151.8
"2025-01-01T00:18:00.000Z";"2025-01-01T00:21:00.000Z";1165.2
"2025-01-01T00:21:00.000Z";"2025-01-01T00:24:00.000Z";1173.8
"2025-01-01T00:24:00.000Z";"2025-01-01T00:27:00.000Z";1174
"2025-01-01T00:27:00.000Z";"2025-01-01T00:30:00.000Z";1165
"2025-01-01T00:30:00.000Z";"2025-01-01T00:33:00.000Z";1157.2
"2025-01-01T00:33:00.000Z";"2025-01-01T00:36:00.000Z";1148.2
"2025-01-01T00:36:00.000Z";"2025-01-01T00:39:00.000Z";1142.7
"2025-01-01T00:39:00.000Z";"2025-01-01T00:42:00.000Z";1132.7
"2025-01-01T00:42:00.000Z";"2025-01-01T00:45:00.000Z";1115
"2025-01-01T00:45:00.000Z";"2025-01-01T00:48:00.000Z";1109.8
"2025-01-01T00:48:00.000Z";"2025-01-01T00:51:00.000Z";1117.3
"2025-01-01T00:51:00.000Z";"2025-01-01T00:54:00.000Z";1119.7
"2025-01-01T00:54:00.000Z";"2025-01-01T00:57:00.000Z";1131.2
"2025-01-01T00:57:00.000Z";"2025-01-01T01:00:00.000Z";1154.6
"2025-01-01T01:00:00.000Z";"2025-01-01T01:03:00.000Z";1169.7
"2025-01-01T01:03:00.000Z";"2025-01-01T01:06:00.000Z";1146.7
"2025-01-01T01:06:00.000Z";"2025-01-01T01:09:00.000Z";1168.2
"2025-01-01T01:09:00.000Z";"2025-01-01T01:12:00.000Z";1140.3
"2025-01-01T01:12:00.000Z";"2025-01-01T01:15:00.000Z";1134.8
"2025-01-01T01:15:00.000Z";"2025-01-01T01:18:00.000Z";1139.8
"2025-01-01T01:18:00.000Z";"2025-01-01T01:21:00.000Z";1159.8
"2025-01-01T01:21:00.000Z";"2025-01-01T01:24:00.000Z";1157
"2025-01-01T01:24:00.000Z";"2025-01-01T01:27:00.000Z";1161.7
"2025-01-01T01:27:00.000Z";"2025-01-01T01:30:00.000Z";1138.7
"2025-01-01T01:30:00.000Z";"2025-01-01T01:33:00.000Z";1141.3
"2025-01-01T01:33:00.000Z";"2025-01-01T01:36:00.000Z";1133.7
"2025-01-01T01:36:00.000Z";"2025-01-01T01:39:00.000Z";1137.2
"2025-01-01T01:39:00.000Z";"2025-01-01T01:42:00.000Z";1132.3
"2025-01-01T01:42:00.000Z";"2025-01-01T01:45:00.000Z";1134.2
"2025-01-01T01:45:00.000Z";"2025-01-01T01:48:00.000Z";1132.3
"2025-01-01T01:48:00.000Z";"2025-01-01T01:51:00.000Z";1130.2
"2025-01-01T01:51:00.000Z";"2025-01-01T01:54:00.000Z";1124.2
"2025-01-01T01:54:00.000Z";"2025-01-01T01:57:00.000Z";1101.2
"2025-01-01T01:57:00.000Z";"2025-01-01T02:00:00.000Z";1090.3
"2025-01-01T02:00:00.000Z";"2025-01-01T02:03:00.000Z";1103.5
"2025-01-01T02:03:00.000Z";"2025-01-01T02:06:00.000Z";1118.8
"2025-01-01T02:06:00.000Z";"2025-01-01T02:09:00.000Z";1117.8
"2025-01-01T02:09:00.000Z";"2025-01-01T02:12:00.000Z";1112.8
"2025-01-01T02:12:00.000Z";"2025-01-01T02:15:00.000Z";1105.2
"2025-01-01T02:15:00.000Z";"2025-01-01T02:18:00.000Z";1093.5
"2025-01-01T02:18:00.000Z";"2025-01-01T02:21:00.000Z";1097.7
"2025-01-01T02:21:00.000Z";"2025-01-01T02:24:00.000Z";1088.5
"2025-01-01T02:24:00.000Z";"2025-01-01T02:27:00.000Z";1081.2
"2025-01-01T02:27:00.000Z";"2025-01-01T02:30:00.000Z";1081.7
"2025-01-01T02:30:00.000Z";"2025-01-01T02:33:00.000Z";1086.2
"2025-01-01T02:33:00.000Z";"2025-01-01T02:36:00.000Z";1090.8
"2025-01-01T02:36:00.000Z";"2025-01-01T02:39:00.000Z";1100.6
"2025-01-01T02:39:00.000Z";"2025-01-01T02:42:00.000Z";1109.5
"2025-01-01T02:42:00.000Z";"2025-01-01T02:45:00.000Z";1096
"2025-01-01T02:45:00.000Z";"2025-01-01T02:48:00.000Z";1084.5
"2025-01-01T02:48:00.000Z";"2025-01-01T02:51:00.000Z";1096.5
"2025-01-01T02:51:00.000Z";"2025-01-01T02:54:00.000Z";1106
"2025-01-01T02:54:00.000Z";"2025-01-01T02:57:00.000Z";1108
"2025-01-01T02:57:00.000Z";"2025-01-01T03:00:00.000Z";1095.2
"2025-01-01T03:00:00.000Z";"2025-01-01T03:03:00.000Z";1088.8
"2025-01-01T03:03:00.000Z";"2025-01-01T03:06:00.000Z";1087.7
"2025-01-01T03:06:00.000Z";"2025-01-01T03:09:00.000Z";1135.8
"2025-01-01T03:09:00.000Z";"2025-01-01T03:12:00.000Z";1166.6
"2025-01-01T03:12:00.000Z";"2025-01-01T03:15:00.000Z";1161.5
"2025-01-01T03:15:00.000Z";"2025-01-01T03:18:00.000Z";1181.2
"2025-01-01T03:18:00.000Z";"2025-01-01T03:21:00.000Z";1200.2
"2025-01-01T03:21:00.000Z";"2025-01-01T03:24:00.000Z";1198
"2025-01-01T03:24:00.000Z";"2025-01-01T03:27:00.000Z";1191.7
"2025-01-01T03:27:00.000Z";"2025-01-01T03:30:00.000Z";1169.2
"2025-01-01T03:30:00.000Z";"2025-01-01T03:33:00.000Z";1174.2
"2025-01-01T03:33:00.000Z";"2025-01-01T03:36:00.000Z";1173.5
"2025-01-01T03:36:00.000Z";"2025-01-01T03:39:00.000Z";1179.7
"2025-01-01T03:39:00.000Z";"2025-01-01T03:42:00.000Z";1191.5
"2025-01-01T03:42:00.000Z";"2025-01-01T03:45:00.000Z";1197.8
"2025-01-01T03:45:00.000Z";"2025-01-01T03:48:00.000Z";1192
"2025-01-01T03:48:00.000Z";"2025-01-01T03:51:00.000Z";1194.2
"2025-01-01T03:51:00.000Z";"2025-01-01T03:54:00.000Z";1185.8
