"startTime";"endTime";"Nuclear power production - real time data"
"2024-12-31T22:00:00.000Z";"2024-12-31T22:03:00.000Z";3870.8
"2024-12-31T22:03:00.000Z";"2024-12-31T22:06:00.000Z";3874
"2024-12-31T22:06:00.000Z";"2024-12-31T22:09:00.000Z";3871.7
"2024-12-31T22:09:00.000Z";"2024-12-31T22:12:00.000Z";3872
"2024-12-31T22:12:00.000Z";"2024-12-31T22:15:00.000Z";3868.2
"2024-12-31T22:15:00.000Z";"2024-12-31T22:18:00.000Z";3870.5
"2024-12-31T22:18:00.000Z";"2024-12-31T22:21:00.000Z";3868.7
"2024-12-31T22:21:00.000Z";"2024-12-31T22:24:00.000Z";3872.5
"2024-12-31T22:24:00.000Z";"2024-12-31T22:27:00.000Z";3873.2
"2024-12-31T22:27:00.000Z";"2024-12-31T22:30:00.000Z";3871
"2024-12-31T22:30:00.000Z";"2024-12-31T22:33:00.000Z";3876.5
"2024-12-31T22:33:00.000Z";"2024-12-31T22:36:00.000Z";3872.5
"2024-12-31T22:36:00.000Z";"2024-12-31T22:39:00.000Z";3870.2
"2024-12-31T22:39:00.000Z";"2024-12-31T22:42:00.000Z";3874.2
"2024-12-31T22:42:00.000Z";"2024-12-31T22:45:00.000Z";3873.8
"2024-12-31T22:45:00.000Z";"2024-12-31T22:48:00.000Z";3876
"2024-12-31T22:48:00.000Z";"2024-12-31T22:51:00.000Z";3873.7
"2024-12-31T22:51:00.000Z";"2024-12-31T22:54:00.000Z";3871.2
"2024-12-31T22:54:00.000Z";"2024-12-31T22:57:00.000Z";3871.5
"2024-12-31T22:57:00.000Z";"2024-12-31T23:00:00.000Z";3874.3
"2024-12-31T23:00:00.000Z";"2024-12-31T23:03:00.000Z";3874
"2024-12-31T23:03:00.000Z";"2024-12-31T23:06:00.000Z";3933.5
"2024-12-31T23:06:00.000Z";"2024-12-31T23:09:00.000Z";4014.5
"2024-12-31T23:09:00.000Z";"2024-12-31T23:12:00.000Z";4061.8
"2024-12-31T23:12:00.000Z";"2024-12-31T23:15:00.000Z";4071.8
"2024-12-31T23:15:00.000Z";"2024-12-31T23:18:00.000Z";4086
"2024-12-31T23:18:00.000Z";"2024-12-31T23:21:00.000Z";4098.8
"2024-12-31T23:21:00.000Z";"2024-12-31T23:24:00.000Z";4105.5
"2024-12-31T23:24:00.000Z";"2024-12-31T23:27:00.000Z";4103.5
"2024-12-31T23:27:00.000Z";"2024-12-31T23:30:00.000Z";4104.8
"2024-12-31T23:30:00.000Z";"2024-12-31T23:33:00.000Z";4105
"2024-12-31T23:33:00.000Z";"2024-12-31T23:36:00.000Z";4107.3
"2024-12-31T23:36:00.000Z";"2024-12-31T23:39:00.000Z";4105.2
"2024-12-31T23:39:00.000Z";"2024-12-31T23:42:00.000Z";4106.7
"2024-12-31T23:42:00.000Z";"2024-12-31T23:45:00.000Z";4107.2
"2024-12-31T23:45:00.000Z";"2024-12-31T23:48:00.000Z";4099.5
"2024-12-31T23:48:00.000Z";"2024-12-31T23:51:00.000Z";4096
"2024-12-31T23:51:00.000Z";"2024-12-31T23:54:00.000Z";4097.3
"2024-12-31T23:54:00.000Z";"2024-12-31T23:57:00.000Z";4102.8
"2024-12-31T23:57:00.000Z";"2025-01-01T00:00:00.000Z";4096.2
"2025-01-01T00:00:00.000Z";"2025-01-01T00:03:00.000Z";4100
"2025-01-01T00:03:00.000Z";"2025-01-01T00:06:00.000Z";4102.2
"2025-01-01T00:06:00.000Z";"2025-01-01T00:09:00.000Z";4101.5
"2025-01-01T00:09:00.000Z";"2025-01-01T00:12:00.000Z";4099.5
"2025-01-01T00:12:00.000Z";"2025-01-01T00:15:00.000Z";4101
"2025-01-01T00:15:00.000Z";"2025-01-01T00:18:00.000Z";4098.2
"2025-01-01T00:18:00.000Z";"2025-01-01T00:21:00.000Z";4100.2
"2025-01-01T00:21:00.000Z";"2025-01-01T00:24:00.000Z";4100.2
"2025-01-01T00:24:00.000Z";"2025-01-01T00:27:00.000Z";4098
"2025-01-01T00:27:00.000Z";"2025-01-01T00:30:00.000Z";4090
"2025-01-01T00:30:00.000Z";"2025-01-01T00:33:00.000Z";4092.2
"2025-01-01T00:33:00.000Z";"2025-01-01T00:36:00.000Z";4087.5
"2025-01-01T00:36:00.000Z";"2025-01-01T00:39:00.000Z";4090
"2025-01-01T00:39:00.000Z";"2025-01-01T00:42:00.000Z";4089.7
"2025-01-01T00:42:00.000Z";"2025-01-01T00:45:00.000Z";4087.2
"2025-01-01T00:45:00.000Z";"2025-01-01T00:48:00.000Z";4087
"2025-01-01T00:48:00.000Z";"2025-01-01T00:51:00.000Z";4088.7
"2025-01-01T00:51:00.000Z";"2025-01-01T00:54:00.000Z";4087
"2025-01-01T00:54:00.000Z";"2025-01-01T00:57:00.000Z";4090.5
"2025-01-01T00:57:00.000Z";"2025-01-01T01:00:00.000Z";4086.8
"2025-01-01T01:00:00.000Z";"2025-01-01T01:03:00.000Z";4087
"2025-01-01T01:03:00.000Z";"2025-01-01T01:06:00.000Z";4090.5
"2025-01-01T01:06:00.000Z";"2025-01-01T01:09:00.000Z";4085
"2025-01-01T01:09:00.000Z";"2025-01-01T01:12:00.000Z";4093.2
"2025-01-01T01:12:00.000Z";"2025-01-01T01:15:00.000Z";4096
"2025-01-01T01:15:00.000Z";"2025-01-01T01:18:00.000Z";4094.5
"2025-01-01T01:18:00.000Z";"2025-01-01T01:21:00.000Z";4094
"2025-01-01T01:21:00.000Z";"2025-01-01T01:24:00.000Z";4094.2
"2025-01-01T01:24:00.000Z";"2025-01-01T01:27:00.000Z";4093.2
"2025-01-01T01:27:00.000Z";"2025-01-01T01:30:00.000Z";4089.2
"2025-01-01T01:30:00.000Z";"2025-01-01T01:33:00.000Z";4090
"2025-01-01T01:33:00.000Z";"2025-01-01T01:36:00.000Z";4092.8
"2025-01-01T01:36:00.000Z";"2025-01-01T01:39:00.000Z";4093.3
"2025-01-01T01:39:00.000Z";"2025-01-01T01:42:00.000Z";4092.2
"2025-01-01T01:42:00.000Z";"2025-01-01T01:45:00.000Z";4088
"2025-01-01T01:45:00.000Z";"2025-01-01T01:48:00.000Z";4094
"2025-01-01T01:48:00.000Z";"2025-01-01T01:51:00.000Z";4091.2
"2025-01-01T01:51:00.000Z";"2025-01-01T01:54:00.000Z";4090.7
"2025-01-01T01:54:00.000Z";"2025-01-01T01:57:00.000Z";4090.5
"2025-01-01T01:57:00.000Z";"2025-01-01T02:00:00.000Z";4095.8
"2025-01-01T02:00:00.000Z";"2025-01-01T02:03:00.000Z";4095
"2025-01-01T02:03:00.000Z";"2025-01-01T02:06:00.000Z";4087.5
"2025-01-01T02:06:00.000Z";"2025-01-01T02:09:00.000Z";4093
"2025-01-01T02:09:00.000Z";"2025-01-01T02:12:00.000Z";4094.3
"2025-01-01T02:12:00.000Z";"2025-01-01T02:15:00.000Z";4094.7
"2025-01-01T02:15:00.000Z";"2025-01-01T02:18:00.000Z";4090.3
"2025-01-01T02:18:00.000Z";"2025-01-01T02:21:00.000Z";4090.7
"2025-01-01T02:21:00.000Z";"2025-01-01T02:24:00.000Z";4097.3
"2025-01-01T02:24:00.000Z";"2025-01-01T02:27:00.000Z";4090.2
"2025-01-01T02:27:00.000Z";"2025-01-01T02:30:00.000Z";4093.3
"2025-01-01T02:30:00.000Z";"2025-01-01T02:33:00.000Z";4093
"2025-01-01T02:33:00.000Z";"2025-01-01T02:36:00.000Z";4095.3
"2025-01-01T02:36:00.000Z";"2025-01-01T02:39:00.000Z";4092.7
"2025-01-01T02:39:00.000Z";"2025-01-01T02:42:00.000Z";4092.7
"2025-01-01T02:42:00.000Z";"2025-01-01T02:45:00.000Z";4092.7
"2025-01-01T02:45:00.000Z";"2025-01-01T02:48:00.000Z";4089.5
"2025-01-01T02:48:00.000Z";"2025-01-01T02:51:00.000Z";4090.3
"2025-01-01T02:51:00.000Z";"2025-01-01T02:54:00.000Z";4095.5
"2025-01-01T02:54:00.000Z";"2025-01-01T02:57:00.000Z";4095
"2025-01-01T02:57:00.000Z";"2025-01-01T03:00:00.000Z";4089.5
"2025-01-01T03:00:00.000Z";"2025-01-01T03:03:00.000Z";4089.2
"2025-01-01T03:03:00.000Z";"2025-01-01T03:06:00.000Z";4091
"2025-01-01T03:06:00.000Z";"2025-01-01T03:09:00.000Z";4094
"2025-01-01T03:09:00.000Z";"2025-01-01T03:12:00.000Z";4093.8
"2025-01-01T03:12:00.000Z";"2025-01-01T03:15:00.000Z";4094.2
"2025-01-01T03:15:00.000Z";"2025-01-01T03:18:00.000Z";4094.7
"2025-01-01T03:18:00.000Z";"2025-01-01T03:21:00.000Z";4092.2
"2025-01-01T03:21:00.000Z";"2025-01-01T03:24:00.000Z";4093.3
"2025-01-01T03:24:00.000Z";"2025-01-01T03:27:00.000Z";4091.7
"2025-01-01T03:27:00.000Z";"2025-01-01T03:30:00.000Z";4094.5
