"startTime";"endTime";"Wind power production - real time data"
"2024-12-31T22:00:00.000Z";"2024-12-31T22:03:00.000Z";2713.1
"2024-12-31T22:03:00.000Z";"2024-12-31T22:06:00.000Z";2685
"2024-12-31T22:06:00.000Z";"2024-12-31T22:09:00.000Z";2672
"2024-12-31T22:09:00.000Z";"2024-12-31T22:12:00.000Z";2696.5
"2024-12-31T22:12:00.000Z";"2024-12-31T22:15:00.000Z";2714.5
"2024-12-31T22:15:00.000Z";"2024-12-31T22:18:00.000Z";2726
"2024-12-31T22:18:00.000Z";"2024-12-31T22:21:00.000Z";2708.5
"2024-12-31T22:21:00.000Z";"2024-12-31T22:24:00.000Z";2679
"2024-12-31T22:24:00.000Z";"2024-12-31T22:27:00.000Z";2667
"2024-12-31T22:27:00.000Z";"2024-12-31T22:30:00.000Z";2645.5
"2024-12-31T22:30:00.000Z";"2024-12-31T22:33:00.000Z";2614
"2024-12-31T22:33:00.000Z";"2024-12-31T22:36:00.000Z";2588.5
"2024-12-31T22:36:00.000Z";"2024-12-31T22:39:00.000Z";2567
"2024-12-31T22:39:00.000Z";"2024-12-31T22:42:00.000Z";2558.5
"2024-12-31T22:42:00.000Z";"2024-12-31T22:45:00.000Z";2564
"2024-12-31T22:45:00.000Z";"2024-12-31T22:48:00.000Z";2551
"2024-12-31T22:48:00.000Z";"2024-12-31T22:51:00.000Z";2536
"2024-12-31T22:51:00.000Z";"2024-12-31T22:54:00.000Z";2529
"2024-12-31T22:54:00.000Z";"2024-12-31T22:57:00.000Z";2506
"2024-12-31T22:57:00.000Z";"2024-12-31T23:00:00.000Z";2496.5
"2024-12-31T23:00:00.000Z";"2024-12-31T23:03:00.000Z";2480
"2024-12-31T23:03:00.000Z";"2024-12-31T23:06:00.000Z";2458
"2024-12-31T23:06:00.000Z";"2024-12-31T23:09:00.000Z";2472
"2024-12-31T23:09:00.000Z";"2024-12-31T23:12:00.000Z";2488
"2024-12-31T23:12:00.000Z";"2024-12-31T23:15:00.000Z";2508
"2024-12-31T23:15:00.000Z";"2024-12-31T23:18:00.000Z";2505.5
"2024-12-31T23:18:00.000Z";"2024-12-31T23:21:00.000Z";2518
"2024-12-31T23:21:00.000Z";"2024-12-31T23:24:00.000Z";2519
"2024-12-31T23:24:00.000Z";"2024-12-31T23:27:00.000Z";2524
"2024-12-31T23:27:00.000Z";"2024-12-31T23:30:00.000Z";2511
"2024-12-31T23:30:00.000Z";"2024-12-31T23:33:00.000Z";2499
"2024-12-31T23:33:00.000Z";"2024-12-31T23:36:00.000Z";2507.5
"2024-12-31T23:36:00.000Z";"2024-12-31T23:39:00.000Z";2509
"2024-12-31T23:39:00.000Z";"2024-12-31T23:42:00.000Z";2511
"2024-12-31T23:42:00.000Z";"2024-12-31T23:45:00.000Z";2528.5
"2024-12-31T23:45:00.000Z";"2024-12-31T23:48:00.000Z";2536.5
"2024-12-31T23:48:00.000Z";"2024-12-31T23:51:00.000Z";2574
"2024-12-31T23:51:00.000Z";"2024-12-31T23:54:00.000Z";2579
"2024-12-31T23:54:00.000Z";"2024-12-31T23:57:00.000Z";2613.9
"2024-12-31T23:57:00.000Z";"2025-01-01T00:00:00.000Z";2627.5
"2025-01-01T00:00:00.000Z";"2025-01-01T00:03:00.000Z";2665.5
"2025-01-01T00:03:00.000Z";"2025-01-01T00:06:00.000Z";2703
"2025-01-01T00:06:00.000Z";"2025-01-01T00:09:00.000Z";2727
"2025-01-01T00:09:00.000Z";"2025-01-01T00:12:00.000Z";2731
"2025-01-01T00:12:00.000Z";"2025-01-01T00:15:00.000Z";2751
"2025-01-01T00:15:00.000Z";"2025-01-01T00:18:00.000Z";2758.5
"2025-01-01T00:18:00.000Z";"2025-01-01T00:21:00.000Z";2737.5
"2025-01-01T00:21:00.000Z";"2025-01-01T00:24:00.000Z";2722
"2025-01-01T00:24:00.000Z";"2025-01-01T00:27:00.000Z";2723
"2025-01-01T00:27:00.000Z";"2025-01-01T00:30:00.000Z";2752
"2025-01-01T00:30:00.000Z";"2025-01-01T00:33:00.000Z";2771.5
"2025-01-01T00:33:00.000Z";"2025-01-01T00:36:00.000Z";2791
"2025-01-01T00:36:00.000Z";"2025-01-01T00:39:00.000Z";2793.5
"2025-01-01T00:39:00.000Z";"2025-01-01T00:42:00.000Z";2807
"2025-01-01T00:42:00.000Z";"2025-01-01T00:45:00.000Z";2806
"2025-01-01T00:45:00.000Z";"2025-01-01T00:48:00.000Z";2811
"2025-01-01T00:48:00.000Z";"2025-01-01T00:51:00.000Z";2792
"2025-01-01T00:51:00.000Z";"2025-01-01T00:54:00.000Z";2775
"2025-01-01T00:54:00.000Z";"2025-01-01T00:57:00.000Z";2730.1
"2025-01-01T00:57:00.000Z";"2025-01-01T01:00:00.000Z";2685.5
"2025-01-01T01:00:00.000Z";"2025-01-01T01:03:00.000Z";2649
"2025-01-01T01:03:00.000Z";"2025-01-01T01:06:00.000Z";2615
"2025-01-01T01:06:00.000Z";"2025-01-01T01:09:00.000Z";2602
"2025-01-01T01:09:00.000Z";"2025-01-01T01:12:00.000Z";2588
"2025-01-01T01:12:00.000Z";"2025-01-01T01:15:00.000Z";2587
"2025-01-01T01:15:00.000Z";"2025-01-01T01:18:00.000Z";2566
"2025-01-01T01:18:00.000Z";"2025-01-01T01:21:00.000Z";2562.5
"2025-01-01T01:21:00.000Z";"2025-01-01T01:24:00.000Z";2548
"2025-01-01T01:24:00.000Z";"2025-01-01T01:27:00.000Z";2526
"2025-01-01T01:27:00.000Z";"2025-01-01T01:30:00.000Z";2502
"2025-01-01T01:30:00.000Z";"2025-01-01T01:33:00.000Z";2442.6
"2025-01-01T01:33:00.000Z";"2025-01-01T01:36:00.000Z";2415
"2025-01-01T01:36:00.000Z";"2025-01-01T01:39:00.000Z";2392.5
"2025-01-01T01:39:00.000Z";"2025-01-01T01:42:00.000Z";2399
"2025-01-01T01:42:00.000Z";"2025-01-01T01:45:00.000Z";2363
"2025-01-01T01:45:00.000Z";"2025-01-01T01:48:00.000Z";2340.5
"2025-01-01T01:48:00.000Z";"2025-01-01T01:51:00.000Z";2328.5
"2025-01-01T01:51:00.000Z";"2025-01-01T01:54:00.000Z";2307
"2025-01-01T01:54:00.000Z";"2025-01-01T01:57:00.000Z";2293.5
"2025-01-01T01:57:00.000Z";"2025-01-01T02:00:00.000Z";2265
"2025-01-01T02:00:00.000Z";"2025-01-01T02:03:00.000Z";2238
"2025-01-01T02:03:00.000Z";"2025-01-01T02:06:00.000Z";2218
"2025-01-01T02:06:00.000Z";"2025-01-01T02:09:00.000Z";2231
"2025-01-01T02:09:00.000Z";"2025-01-01T02:12:00.000Z";2242.5
"2025-01-01T02:12:00.000Z";"2025-01-01T02:15:00.000Z";2245
"2025-01-01T02:15:00.000Z";"2025-01-01T02:18:00.000Z";2231.5
"2025-01-01T02:18:00.000Z";"2025-01-01T02:21:00.000Z";2209
